"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"ENSG00000232216",2648.00402818576,9.37081337356506,0.49519021986998,4.36117266828959e-84,8.94345679086145e-80,TRUE,"UP"
"ENSG00000211896",47346.0206863935,6.64260869651926,0.42134208392094,7.85504172461767e-58,8.05416703233672e-54,TRUE,"UP"
"ENSG00000211653",6931.7205037614,7.16618601629394,0.470609049841675,1.41716626960135e-54,9.68727623023829e-51,TRUE,"UP"
"ENSG00000211662",2756.66325413536,7.15268920442055,0.491015863310993,2.80621899348211e-50,1.43867832248344e-46,TRUE,"UP"
"ENSG00000224373",1212.13466997134,4.88180724001095,0.332949730481103,4.61823857685724e-50,1.89412436991223e-46,TRUE,"UP"
"ENSG00000211966",936.411476858746,5.5526778610497,0.380569292251668,1.32101367895929e-49,4.51500458573635e-46,TRUE,"UP"
"ENSG00000211663",2369.16298360677,5.28206322565008,0.388442153199229,1.75080035334126e-43,5.1290946922813e-40,TRUE,"UP"
"ENSG00000270550",362.581458925438,5.41886702614146,0.407465147378842,9.68549409834452e-42,2.48275534343439e-38,TRUE,"UP"
"ENSG00000211897",4625.21971499486,5.92077087920551,0.462866911176509,5.68851891752252e-39,1.29616063824038e-35,TRUE,"UP"
"ENSG00000211949",3089.29638933045,4.77340499692785,0.375819590702425,2.17204962010607e-38,4.45422215595151e-35,TRUE,"UP"
"ENSG00000156738",616.070999122044,6.19899586069102,0.508474549234706,8.10868929541123e-36,1.38570742817498e-32,TRUE,"UP"
"ENSG00000224650",1120.53228575268,4.36872945534348,0.357634939126301,7.54232886299588e-36,1.38570742817498e-32,TRUE,"UP"
"ENSG00000225783",543.833611526406,4.90217813292591,0.402694694312395,1.66347081412024e-35,2.62406122962798e-32,TRUE,"UP"
"ENSG00000154451",761.776231981766,5.56432327609957,0.459579666194798,3.63918322134692e-35,4.97524868801076e-32,TRUE,"UP"
"ENSG00000231475",335.568096801687,7.78367981328208,0.656971032450004,3.58413199988694e-35,4.97524868801076e-32,TRUE,"UP"
"ENSG00000153563",503.252978706701,3.90481577369207,0.327225252948003,1.88526199328849e-34,2.41631673102294e-31,TRUE,"UP"
"ENSG00000211893",6946.3852918155,4.83149005380744,0.405426793092425,3.59938353720657e-34,4.34191518808795e-31,TRUE,"UP"
"ENSG00000138755",3315.38942490441,6.67428912282114,0.580403261421614,1.65152055833416e-32,1.88154067165325e-29,TRUE,"UP"
"ENSG00000282651",278.829971109228,6.07103415973165,0.526656476120923,2.49126231707316e-32,2.68885875453785e-29,TRUE,"UP"
"ENSG00000244575",765.885294046883,4.77557965673448,0.428934780612089,3.04566877576327e-30,3.12287647922887e-27,TRUE,"UP"
"ENSG00000169245",416.529195306974,4.93981956032303,0.447279324955778,8.72392448613922e-30,8.51911997320272e-27,TRUE,"UP"
"ENSG00000211673",775.548623341048,5.7833502350949,0.529325435208032,2.75183334656763e-29,2.56508392900284e-26,TRUE,"UP"
"ENSG00000211892",363.648389473412,4.77305974112413,0.443630484659941,1.86623408233895e-28,1.66395053593586e-25,TRUE,"UP"
"ENSG00000211947",883.711974813446,4.04231534300624,0.377429533930661,2.22652065362949e-28,1.9024691268325e-25,TRUE,"UP"
"ENSG00000117215",313.058090981954,7.77022678272723,0.764847130443658,4.6785993092521e-27,3.83776144139331e-24,TRUE,"UP"
"ENSG00000081237",1680.90340512275,3.90053206610569,0.377435714672842,1.1594061653591e-26,9.14459316654583e-24,TRUE,"UP"
"ENSG00000237988",364.652159760202,5.12291094020136,0.499623705633486,4.20329190286835e-26,3.19247803896745e-23,TRUE,"UP"
"ENSG00000115232",179.233502607715,4.11806617140155,0.404815378033218,6.53297981023995e-26,4.78470774887824e-23,TRUE,"UP"
"ENSG00000275063",230.77278222226,4.8114785398193,0.47174362933534,6.84319310639908e-26,4.83908141492848e-23,TRUE,"UP"
"ENSG00000162894",272.187777891777,3.88514388540538,0.386148210477365,1.92013299353925e-25,1.31253890995031e-22,TRUE,"UP"
"ENSG00000241755",461.900011847977,3.85815367708944,0.390229331247356,1.10874567665721e-24,7.33453148103532e-22,TRUE,"UP"
"ENSG00000090382",3970.36752694664,4.98288282831339,0.504978461189341,2.02931600728794e-24,1.30047448004543e-21,TRUE,"UP"
"ENSG00000243290",354.437782261877,3.61815660602014,0.372300769900931,6.07750505005237e-24,3.7767089715583e-21,TRUE,"UP"
"ENSG00000211955",867.777211621358,4.6905964541552,0.482084638615665,7.17411009082352e-24,4.32704340095641e-21,TRUE,"UP"
"ENSG00000211640",1182.05048047477,4.9548147809314,0.50918812200031,7.7361208175356e-24,4.53270370300579e-21,TRUE,"UP"
"ENSG00000115415",5285.89609098024,3.87262431448001,0.40320542712176,1.78504289168803e-23,1.01682984944018e-20,TRUE,"UP"
"ENSG00000179583",734.290833973817,2.64174442747686,0.274310900794502,2.70335164329153e-23,1.49831438240485e-20,TRUE,"UP"
"ENSG00000128815",314.870072319182,3.29541959169662,0.345925545057923,4.75817056899718e-23,2.56778431206382e-20,TRUE,"UP"
"ENSG00000253755",535.41083401349,5.02627431775521,0.528756325010046,6.8699227622131e-23,3.6123463098642e-20,TRUE,"UP"
"ENSG00000226777",196.341276560551,4.70556970683852,0.495993131721958,7.50865388584221e-23,3.84949913092416e-20,TRUE,"UP"
"ENSG00000239951",2498.02587665806,3.44374298113457,0.364800408653871,9.77719604544337e-23,4.8902673000953e-20,TRUE,"UP"
"ENSG00000134028",215.947828925462,7.22235094896213,0.781451603593597,1.04577954944476e-22,5.10614314772947e-20,TRUE,"UP"
"ENSG00000172578",321.787859600809,3.65954434504165,0.389657576151241,1.4068797515561e-22,6.56867449568806e-20,TRUE,"UP"
"ENSG00000196092",143.960409186308,6.54891285276946,0.702110122444006,1.4093805910678e-22,6.56867449568806e-20,TRUE,"UP"
"ENSG00000110448",217.110268574389,4.46797400708518,0.475668927954014,1.65557649278306e-22,7.54464603055604e-20,TRUE,"UP"
"ENSG00000013725",331.524442631358,3.63981408311631,0.388667989359013,1.82509711763728e-22,8.13636230247557e-20,TRUE,"UP"
"ENSG00000100985",601.383771119715,4.94741443181916,0.527650423728075,2.30955469705836e-22,1.00770293984204e-19,TRUE,"UP"
"ENSG00000251546",459.109267898238,5.59256051810391,0.597437261399701,2.49488663147597e-22,1.06588833649328e-19,TRUE,"UP"
"ENSG00000211598",1625.23993901842,3.73724595078974,0.401217613121492,2.86498783242877e-22,1.19902664244116e-19,TRUE,"UP"
"ENSG00000160856",145.533606895943,5.88051745398851,0.632015789517937,3.56530016666347e-22,1.46227221035536e-19,TRUE,"UP"
"ENSG00000009790",321.712158357835,3.55447011662868,0.383754517796251,4.94623540036961e-22,1.98887155598783e-19,TRUE,"UP"
"ENSG00000160791",351.012372418933,3.28151545140931,0.354598347885242,6.35761963228691e-22,2.50722511152515e-19,TRUE,"UP"
"ENSG00000211959",457.536363221465,3.34153206927838,0.361494306349358,6.6950179642743e-22,2.59046666779949e-19,TRUE,"UP"
"ENSG00000211945",181.43952016203,3.90559345828819,0.427818210289036,1.61044955631241e-21,6.11583130579602e-19,TRUE,"UP"
"ENSG00000188404",423.393755014066,4.01161501037593,0.439869586877558,1.77980947912643e-21,6.63610054335378e-19,TRUE,"UP"
"ENSG00000205045",209.079285003107,3.73372942940029,0.411015245011945,2.44867564099929e-21,8.96696274463792e-19,TRUE,"UP"
"ENSG00000100385",375.905115666784,3.51022165609366,0.388254667498987,3.91735458942796e-21,1.4093542204456e-18,TRUE,"UP"
"ENSG00000131203",113.619779259878,5.43736063370656,0.602025353861918,5.4690105473555e-21,1.93367240163137e-18,TRUE,"UP"
"ENSG00000113263",346.373238537166,3.9924791983898,0.446920022236963,9.72923251757368e-21,3.38165035996413e-18,TRUE,"UP"
"ENSG00000184613",167.27627730534,3.94407861792376,0.443553832347676,1.40124903972657e-20,4.7892356762788e-18,TRUE,"UP"
"ENSG00000161405",573.748447755564,3.74146792947813,0.422173684427596,1.83096901494144e-20,6.15535763760723e-18,TRUE,"UP"
"ENSG00000211941",659.681699320162,5.03213854992515,0.567303347267794,2.39948166055475e-20,7.93647909887035e-18,TRUE,"UP"
